Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
WM-CMC3-MCTP-DD,LED,Others,,,,120-277V,375lm-675lm,"70,000hrs",,,,5W/7W/9W,,,MCT,,,,,,,,,
LLL-LL2G,LED,"2 Round",,,90+,,450-550lm,"50,000hours",,,,5.5W,,,5000K,,,,,,,,,
LLL-LRG2-HO,LED,"2 Round",,,90+,,450-550lm,"50,000hours",,,,5.5W,,,5000K,,,,,,,,,
LLL-LSG2,LED,"2 Square",,,90+,,450-550lm,"50,000hours",,,5W,,,,4100K,,,,,,,,,
LLL-LL3G,LED,Other,,,90+,,580-650lm,"50,000Hours",,,7.5W,,,,5000K,,,,,,,,,
LLL-LL3G-DTW,LED,Other,,,90+,,580-650lm,"50,000Hours",,DTW,,7.5W,,,,,,,,,,,,
LLL-LL3G-5CCT,LED,Other,,,90+,,580-650lm,"50,000hrs",,,,7.5W,,,MCT,,,,,,,,,
LLL-LRG3,LED,"3 Round",,,"90 +",,"500lm - 650lm","50,000hrs",,,,7.5W,,,5000K,,,,,,,,,
LLL-LRG3-DTW,LED,Other,,,90+,,580-650lm,"50,000Hours",,DTW,,7.5W,,,,,,,,,,,,
LLL-LRG3-5CCT,LED,Other,,,90+,,580-650lm,"50,000hrs",,,,7.5W,,,MCT,,,,,,,,,
LLL-LSG3,LED,"3 Round",,,90+,,500lm-650lm,"50,000hrs",,,,7.5W,,,5000K,,,,,,,,,
LLL-LSG3-DTW,LED,"3 Square",,,90+,,580-650lm,"50,000hrs",,,,7.5W,,,DTW,,,,,,,,,
LLL-LSG3-5CCT,LED,Other,,,90+,,580-650lm,"50,000hrs",,MCT,,7.5W,,,,,,,,,,,,
LLL-LY6S,LED,Other,,,90+,,900lm/950lm,"50,000hrs",,,,14W,,,4100K,,,,,,,,,
LLL-LL6SRG,LED,Other,,,90+,,"1,000lm|1,050lm","50,000hrs",,,,18W,,,4100K,,,,,,,,,
LLL-LL4G,LED,Other,,,90+,,"960lm-1,100lm","50,000hrs",,,11.5W,,,,5000K,,,,,,,,,
LLL-LL4G-HO,LED,Other,,,90+,,960-1100lm,"50,000hrs",,,,15W,,,5000K,,,,,,,,,
LLL-LRG4,LED,"4 Round",,,90+,,"960-1,100","50,000hrs",,,,11.4,,,5000K,,,,,,,,,
LLL-LL4G-DTW,LED,Other,,,90+,,"800-1,100lm","50,000hrs",,,,11.4W,,,DTW,,,,,,,,,
LLL-LL4G-5CCT,LED,"4 Round",,,90+,,"960lm - 1,100lm","50,000hours",,,,11.4W,,,5CCT,,,,,,,,,
LLL-DDC-H060-24V-NA-5M,LED,Other,,,90+,,430-500,"20,000 Hrs.",,,,75W,,,5000k,,,,,,,,,
