sku,parent,finish_options,price,cost_price,Retail_price,sale_price
EN-62150-TR-W,EN-62150-TR,White,5.1,0,,
EN-62080-TR-I,EN-62080-TR,Ivory,7.69,0,,
EN-62080-TR-GY,EN-62080-TR,Gray,7.69,0,,
EN-62080-TR-W,EN-62080-TR,White,7.69,0,,
EN-62060-TR-I,EN-62060-TR,Ivory,3.67,0,,
EN-62060-TR-W,EN-62060-TR,White,3.67,0,,
EN-62050-IG-I,EN-62050-IG,Ivory,12,0,,
EN-62050-IG-O,EN-62050-IG,Orange,12,0,,
EN-62050-IG-W,EN-62050-IG,White,12,0,,
EN-62040-TWR-I,EN-62040-TWR,Ivory,5.56,0,,
EN-62040-TWR-W,EN-62040-TWR,White,5.56,0,,
EN-62040-TR-I,EN-62040-TR,Ivory,2.72,0,,
EN-62040-TR-LA,EN-62040-TR,Light,2.72,0,,
EN-62040-TR-BK,EN-62040-TR,Black,2.72,0,,
EN-62040-TR-W,EN-62040-TR,White,2.72,0,,
EN-62040-I,EN-62040,Ivory,1.38,0,,
EN-62040-BK,EN-62040,Black,1.38,0,,
EN-62040-W,EN-62040,White,1.38,0,,
EN-62021-R,EN-62021,Red,12.12,0,,
EN-62021-W,EN-62021,White,12.12,0,,
LT-CMED216-WH-2700K,LT-CMED216,White,89.05,53.63,,
LT-CMED216-WH-3000K,LT-CMED216,White,89.05,53.63,,
LT-CMED216-WH-3500K,LT-CMED216,White,89.05,53.63,,
LT-CMED216-WH-4000K,LT-CMED216,White,89.05,53.63,,
LT-CMED216-BK-2700K,LT-CMED216,Black,89.05,53.63,,
LT-CMED216-BK-3000K,LT-CMED216,Black,89.05,53.63,,
LT-CMED216-BK-3500K,LT-CMED216,Black,89.05,53.63,,
LT-CMED216-BK-4000K,LT-CMED216,Black,89.05,53.63,,
LT-CMED216-BN-2700K,LT-CMED216,Brushed,89.05,53.63,,
LT-CMED216-BN-3000K,LT-CMED216,Brushed,89.05,53.63,,
LT-CMED216-BN-3500K,LT-CMED216,Brushed,89.05,53.63,,
LT-CMED216-BN-4000K,LT-CMED216,Brushed,89.05,53.63,,
LT-CMED216-SN-2700K,LT-CMED216,Satin,89.05,53.63,,
LT-CMED216-SN-3000K,LT-CMED216,Satin,89.05,53.63,,
LT-CMED216-SN-3500K,LT-CMED216,Satin,89.05,53.63,,
LT-CMED216-SN-4000K,LT-CMED216,Satin,89.05,53.63,,
LT-CMED216-C-2700K,LT-CMED216,Chrome,89.05,53.63,,
LT-CMED216-C-3000K,LT-CMED216,Chrome,89.05,53.63,,
LT-CMED216-C-3500K,LT-CMED216,Chrome,89.05,53.63,,
LT-CMED216-C-4000K,LT-CMED216,Chrome,89.05,53.63,,
EN-62020-I,EN-62020,Ivory,6.63,0,,
EN-62020-O,EN-62020,Orange,6.63,0,,
EN-62020-R,EN-62020,Red,6.63,0,,
EN-62020-W,EN-62020,White,6.63,0,,
EN-62010-I,EN-62010,Ivory,11.26,0,,
EN-62010-O,EN-62010,Orange,11.26,0,,
EN-62010-W,EN-62010,White,11.26,0,,
LT-CMED412-WH-2700K,LT-CMED412,White,54.95,33.28,,
LT-CMED412-WH-3000K,LT-CMED412,White,54.95,33.28,,
LT-CMED412-WH-3500K,LT-CMED412,White,54.95,33.28,,
LT-CMED412-WH-4000K,LT-CMED412,White,54.95,33.28,,
LT-CMED412-BK-2700K,LT-CMED412,Black,54.95,33.28,,
LT-CMED412-BK-3000K,LT-CMED412,Black,54.95,33.28,,
LT-CMED412-BK-3500K,LT-CMED412,Black,54.95,33.28,,
LT-CMED412-BK-4000K,LT-CMED412,Black,54.95,33.28,,
LT-CMED412-BN-2700K,LT-CMED412,Brushed,54.95,33.28,,
LT-CMED412-BN-3000K,LT-CMED412,Brushed,54.95,33.28,,
LT-CMED412-BN-3500K,LT-CMED412,Brushed,54.95,33.28,,
LT-CMED412-BN-4000K,LT-CMED412,Brushed,54.95,33.28,,
LT-CMED412-SN-2700K,LT-CMED412,Satin,54.95,33.28,,
LT-CMED412-SN-3000K,LT-CMED412,Satin,54.95,33.28,,
LT-CMED412-SN-3500K,LT-CMED412,Satin,54.95,33.28,,
LT-CMED412-SN-4000K,LT-CMED412,Satin,54.95,33.28,,
LT-CMED412-C-2700K,LT-CMED412,Chrome,54.95,33.28,,
LT-CMED412-C-3000K,LT-CMED412,Chrome,54.95,33.28,,
LT-CMED412-C-3500K,LT-CMED412,Chrome,54.95,33.28,,
LT-CMED412-C-4000K,LT-CMED412,Chrome,54.95,33.28,,
LT-CMED414-WH-2700K,LT-CMED414,White,78.05,47.03,,
LT-CMED414-WH-3000K,LT-CMED414,White,78.05,47.03,,
LT-CMED414-WH-3500K,LT-CMED414,White,78.05,47.03,,
LT-CMED414-WH-4000K,LT-CMED414,White,78.05,47.03,,
LT-CMED414-BK-2700K,LT-CMED414,Black,78.05,47.03,,
LT-CMED414-BK-3000K,LT-CMED414,Black,78.05,47.03,,
LT-CMED414-BK-3500K,LT-CMED414,Black,78.05,47.03,,
LT-CMED414-BK-4000K,LT-CMED414,Black,78.05,47.03,,
LT-CMED414-BN-2700K,LT-CMED414,Brushed,78.05,47.03,,
LT-CMED414-BN-3000K,LT-CMED414,Brushed,78.05,47.03,,
LT-CMED414-BN-3500K,LT-CMED414,Brushed,78.05,47.03,,
LT-CMED414-BN-4000K,LT-CMED414,Brushed,78.05,47.03,,
LT-CMED414-SN-2700K,LT-CMED414,Satin,78.05,47.03,,
LT-CMED414-SN-3000K,LT-CMED414,Satin,78.05,47.03,,
LT-CMED414-SN-3500K,LT-CMED414,Satin,78.05,47.03,,
LT-CMED414-SN-4000K,LT-CMED414,Satin,78.05,47.03,,
LT-CMED414-C-2700K,LT-CMED414,Chrome,78.05,47.03,,
