parent_sku,child_sku,color_temprature
LT-CMED-214-23,LT-CMED-214-23-3000K-WH,3000K
LT-CMED-214-23,LT-CMED-214-23-3000K-BK,3000K
LT-CMED-214-23,LT-CMED-214-23-3000K-BN,3000K
LT-CMED-214-23,LT-CMED-214-23-3000K-SN,3000K
LT-CMED-214-23,LT-CMED-214-23-3000K-C,3000K
LT-CMED-214-23,LT-CMED-214-23-3500K-WH,3500K
LT-CMED-214-23,LT-CMED-214-23-3500K-BK,3500K
LT-CMED-214-23,LT-CMED-214-23-3500K-BN,3500K
LT-CMED-214-23,LT-CMED-214-23-3500K-SN,3500K
LT-CMED-214-23,LT-CMED-214-23-3500K-C,3500K
LT-CMED-214-23,LT-CMED-214-23-4000K-WH,4000K
LT-CMED-214-23,LT-CMED-214-23-4000K-BK,4000K
LT-CMED-214-23,LT-CMED-214-23-4000K-BN,4000K
LT-CMED-214-23,LT-CMED-214-23-4000K-SN,4000K
LT-CMED-214-23,LT-CMED-214-23-4000K-C,4000K
LT-DFR56,LT-DFR56-2700K,2700K
LT-DFR56,LT-DFR56-3000K,3000K
LT-DFR56,LT-DFR56-3500K,3500K
LT-DFR56,LT-DFR56-4000K,4000K
F31T8/U-CASE20,F31T8/U-CASE20-830,3000K
F31T8/U-CASE20,F31T8/U-CASE20-835,3500K
F31T8/U-CASE20,F31T8/U-CASE20-841,"4100K (Default)"
F31T8/U-CASE20,F31T8/U-CASE20-850,5000K
TF-LLLRB47L42W2488L,TF-LLLRB47L42W2488L-30KSA,3000K
TF-LLLRB47L42W2488L,TF-LLLRB47L42W2488L-40KSA,4000K
BL-LEDWP30W,BL-LEDWP30W-4K,4000K
BL-LEDWP30W,BL-LEDWP30W-5K,5000K
BL-LEDWP120W,BL-LEDWP120W-4K,4000K
BL-LEDWP120W,BL-LEDWP120W-5K,5000K
BL-LEDWPC20W,BL-LEDWPC20W-4000K,4000K
BL-LEDWPC20W,BL-LEDWPC20W-5000K,5000K
BL-LEDWPC80W,BL-LEDWPC80W-4000K,4000K
BL-LEDWPC80W,BL-LEDWPC80W-5000K,5000K
GL-LVTS-40-MVD,GL-LVTS-40-MVD-840,4000K
GL-LVTS-40-MVD,GL-LVTS-40-MVD-850,5000K
AEL-LDL4RWWA,AEL-LDL4RWWA-30-SSLMW4,3000K
AEL-LDL4RWWA,AEL-LDL4RWWA-30-MSLMW4,3000K
AEL-LDL4RWWA,AEL-LDL4RWWA-30-HSSLMW4,3000K
AEL-LDL4RWWA,AEL-LDL4RWWA-30-HMSLMW4,3000K
AEL-LDL4RWWA,AEL-LDL4RWWA-35-SSLMW4,3500K
AEL-LDL4RWWA,AEL-LDL4RWWA-35-MSLMW4,3500K
AEL-LDL4RWWA,AEL-LDL4RWWA-35-HSSLMW4,3500K
AEL-LDL4RWWA,AEL-LDL4RWWA-35-HMSLMW4,3500K
AEL-LDL4RWWA,AEL-LDL4RWWA-40-SSLMW4,4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-40-MSLMW4,4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-40-HSSLMW4,4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-40-HMSLMW4,4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-50-SSLMW4,5000K
AEL-LDL4RWWA,AEL-LDL4RWWA-50-MSLMW4,5000K
AEL-LDL4RWWA,AEL-LDL4RWWA-50-HSSLMW4,5000K
