sku,parent,Color_Temperature,price,cost_price,Retail_price,sale_price
TL-TECBTA-24-30W-40K,TL-TECBTA-24,5000K,,0,,
TL-TECBTA-24-30W-50K-D1-W,TL-TECBTA-24,5000K,95.92,0,,
TL-TECBTA-24-40W-40K-D1-W,TL-TECBTA-24,5000K,97.96,0,,
TL-TECBTA-24-40W-50K,TL-TECBTA-24,5000K,,0,,
TL-TECBTA-22-20W-50KD1WJ,TL-TECBTA-22,5000K,65.35,0,,
TL-TECBTA-22-40W-50KD1WJ,TL-TECBTA-22,5000K,69.4,0,,
NL-NBQL-75W-30K-V,NL-NBQL,5000K,194.3,0,,
NL-NBQL-75W-30K-HV,NL-NBQL,5000K,194.3,0,,
NL-NBQL-75W-40K-V,NL-NBQL,5000K,194.3,0,,
NL-NBQL-75W-40K-HV,NL-NBQL,5000K,194.3,0,,
NL-NBQL-75W-50K-V,NL-NBQL,5000K,194.3,0,,
NL-NBQL-75W-50K-HV,NL-NBQL,5000K,194.3,0,,
NL-NBQL-100W-30K-V,NL-NBQL,5000K,228.6,0,,
NL-NBQL-100W-30K-HV,NL-NBQL,5000K,228.6,0,,
NL-NBQL-100W-40K-V,NL-NBQL,5000K,228.6,0,,
NL-NBQL-100W-40K-HV,NL-NBQL,5000K,228.6,0,,
NL-NBQL-100W-50K-V,NL-NBQL,5000K,228.6,0,,
NL-NBQL-100W-50K-HV,NL-NBQL,5000K,228.6,0,,
NL-NBQL-150W-30K-V,NL-NBQL,5000K,235.75,0,,
NL-NBQL-150W-30K-HV,NL-NBQL,5000K,235.75,0,,
NL-NBQL-150W-40K-V,NL-NBQL,5000K,235.75,0,,
NL-NBQL-150W-40K-HV,NL-NBQL,5000K,235.75,0,,
NL-NBQL-150W-50K-V,NL-NBQL,5000K,235.75,0,,
NL-NBQL-150W-50K-HV,NL-NBQL,5000K,235.75,0,,
NL-NBQL-200W-30K-V,NL-NBQL,5000K,297.15,0,,
NL-NBQL-200W-30K-HV,NL-NBQL,5000K,297.15,0,,
NL-NBQL-200W-40K-V,NL-NBQL,5000K,297.15,0,,
NL-NBQL-200W-40K-HV,NL-NBQL,5000K,297.15,0,,
NL-NBQL-200W-50K-V,NL-NBQL,5000K,297.15,0,,
NL-NBQL-200W-50K-HV,NL-NBQL,5000K,297.15,0,,
NL-NBQL-300W-30K-V,NL-NBQL,5000K,392.9,0,,
NL-NBQL-300W-30K-HV,NL-NBQL,5000K,392.9,0,,
NL-NBQL-300W-40K-V,NL-NBQL,5000K,392.9,0,,
NL-NBQL-300W-40K-HV,NL-NBQL,5000K,392.9,0,,
NL-NBQL-300W-50K-V,NL-NBQL,5000K,392.9,0,,
NL-NBQL-300W-50K-HV,NL-NBQL,5000K,392.9,0,,
PS-HB-18Y-PAD-60,PS-HB-18Y-PAD,5000K,9.15,0,,
PS-HB-18Y-PAD-120,PS-HB-18Y-PAD,5000K,11.75,0,,
PS-HB-18Y-PAD-180,PS-HB-18Y-PAD,5000K,13.75,0,,
PS-HB-18Y-PAD-240,PS-HB-18Y-PAD,5000K,15.75,0,,
BL-DBEL-BR-SDT,BL-DBEL,5000K,127.95,0,,
BL-DBEL-B-SDT,BL-DBEL,5000K,127.95,0,,
BL-DBEL-WH-SDT,BL-DBEL,5000K,127.95,0,,
BL-DXR-65,BL-DXR,5000K,98.6,0,,
BL-DXR-610,BL-DXR,5000K,123.25,0,,
BL-DXR-125,BL-DXR,5000K,98.6,0,,
BL-DXR-1210,BL-DXR,5000K,123.25,0,,
BL-LEDR5HO-,BL-LEDR5HO,5000K,33.95,0,,
BL-LEDR5HO-B,BL-LEDR5HO,5000K,33.95,0,,
PI-PT-HBL4-105W-40K,PI-PT-HBL4,5000K,108.43,0,,
PI-PT-HBL4-155W-40K,PI-PT-HBL4,5000K,142.82,0,,
PI-PT-HBL4-170W-40K,PI-PT-HBL4,5000K,178.32,0,,
PI-PT-HBL4-210W-40K,PI-PT-HBL4,5000K,189.1,0,,
PI-PT-HBL4-300W-40K,PI-PT-HBL4,5000K,242.73,0,,
PI-PT-HBL4-105W-50K,PI-PT-HBL4,5000K,108.43,0,,
PI-PT-HBL4-155W-50K,PI-PT-HBL4,5000K,142.82,0,,
PI-PT-HBL4-170W-50K,PI-PT-HBL4,5000K,178.32,0,,
PI-PT-HBL4-210W-50K,PI-PT-HBL4,5000K,189.1,0,,
PI-PT-HBL4-300W-50K,PI-PT-HBL4,5000K,242.73,0,,
BL-PAR-1W,BL-PAR-1,5000K,27.86,0,,
BL-PAR-1B,BL-PAR-1,5000K,27.86,0,,
ILP-AL-375WU-30TIVUPMB,ILP-AL-375WU,3000K,980,0,,
ILP-AL-375WU-40TIVUPMB,ILP-AL-375WU,4000K,980,0,,
ILP-AL-375WU-50TIVUPMB,ILP-AL-375WU,5000K,980,0,,
ILP-AL-225WU-30TIVUPMB,ILP-AL-225WU,3000K,610,0,,
ILP-AL-225WU-40TIVUPMB,ILP-AL-225WU,4000K,610,0,,
ILP-AL-225WU-50TIVUPMB,ILP-AL-225WU,5000K,610,0,,
ILP-AL-90WU-30TIVUPMB,ILP-AL-90WU,3000K,384.3,0,,
ILP-AL-90WU-40TIVUPMB,ILP-AL-90WU,4000K,384.3,0,,
ILP-AL-90WU-50TIVUPMB,ILP-AL-90WU,5000K,384.3,0,,
ILP-BLFT-15WLED-UNIV-4000K-BRZ,ILP-BLFT-15WLED-UNIV-4000K,5000K,544.3,0,,
ILP-BLFT-15WLED-UNIV-4000K-BLK,ILP-BLFT-15WLED-UNIV-4000K,5000K,544.3,0,,
EL-EB30-11W-3020e-CASE25,EL-EB30-11W,2700K,48.6,0,,
EL-EB30-11W-3000e-CASE25,EL-EB30-11W,3000K,48.6,0,,
EL-EB30-11W-3040e-CASE25,EL-EB30-11W,4000K,48.6,0,,
EL-EB30-11W-3050e-CASE25,EL-EB30-11W,5000K,48.6,0,,
EL-EA21-22W-1020eh-CASE5,EL-EA21-22W,2700K,36.35,0,,
EL-EA21-22W-1000eh-CASE5,EL-EA21-22W,3000K,36.35,0,,
EL-EA21-22W-1040eh-CASE5,EL-EA21-22W,4000K,36.35,0,,
EL-EA21-22W-1050eh-CASE5,EL-EA21-22W,5000K,36.35,0,,
EL-ET5-2-140H-CASE25,EL-ET5-2,4000K,250,0,,
EL-ET5-2-150H-CASE25,EL-ET5-2,5000K,250,0,,
DG-HLV4AOQ-F112-U-40K-CP,DG-HLV4AOQ,5000K,1488.6,0,,
DG-HLV4AOQ-F112-U-40K-LP,DG-HLV4AOQ,5000K,1594.3,0,,
DG-HLV4AOQ-F112-U-50K-CP,DG-HLV4AOQ,5000K,1488.6,0,,
DG-HLV4AOQ-F112-U-50K-LP,DG-HLV4AOQ,5000K,1594.3,0,,
DG-HLV4AOQ-F112-H-40K-CP,DG-HLV4AOQ,5000K,1640,0,,
DG-HLV4AOQ-F112-H-40K-LP,DG-HLV4AOQ,5000K,1745.75,0,,
DG-HLV4AOQ-F112-H-50K-CP,DG-HLV4AOQ,5000K,1640,0,,
DG-HLV4AOQ-F112-H-50K-LP,DG-HLV4AOQ,5000K,1745.75,0,,
DG-HLV4AOQ-F136-U-40K-CP,DG-HLV4AOQ,5000K,1548.6,0,,
DG-HLV4AOQ-F136-U-40K-LP,DG-HLV4AOQ,5000K,1654.3,0,,
