parent_sku,child_sku,Wattage_Options
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-WM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-SL,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-BM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-TO,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-IM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-WH,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-WM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-SL,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-BM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-TO,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-IM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-WH,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-WM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-SL,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-BM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-TO,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-IM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-WH,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-WM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-SL,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-BM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-TO,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-IM,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-WH,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-WM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-SL,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-BM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-TO,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-IM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-WH,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-WM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-SL,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-BM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-TO,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-IM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-WH,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-WM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-SL,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-BM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-TO,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-IM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-WH,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-WM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-SL,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-BM,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-TO,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-IM,"36 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-30K-WH,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-30K-SL,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-30K-BM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-30K-TO,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-30K-IM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-30K-WM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-35K-WH,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-35K-SL,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-35K-BM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-35K-TO,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-35K-IM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-35K-WM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-40K-WH,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-40K-SL,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-40K-BM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-40K-TO,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-40K-IM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-40K-WM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-50K-WH,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-50K-SL,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-50K-BM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-50K-TO,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-50K-IM,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-50K-WM,"32 Watts"
