sku,Price,"Cost Price","Retail Price","Sale Price"
TF-C48LFR-F35W4500LDMV-30K,122.86,0,,
TF-C48LFR-F35W4500LDMV-35K,122.86,0,,
TF-C48LFR-F35W4500LDMV-40K,122.86,0,,
TF-C48LFR-F35W4500LDMV-50K,122.86,0,,
TF-C48LFR-F48W6000LDMV-30K,132.86,0,,
TF-C48LFR-F48W6000LDMV-35K,132.86,0,,
TF-C48LFR-F48W6000LDMV-40K,132.86,0,,
TF-C48LFR-F48W6000LDMV-50K,132.86,0,,
TF-C48LFR-F57W7100LDMV-30K,140,0,,
TF-C48LFR-F57W7100LDMV-35K,140,0,,
TF-C48LFR-F57W7100LDMV-40K,140,0,,
TF-C48LFR-F57W7100LDMV-50K,140,0,,
TF-C96LFR-F70W9100LDMV-30K,208.6,0,,
TF-C96LFR-F70W9100LDMV-35K,208.6,0,,
TF-C96LFR-F70W9100LDMV-40K,208.6,0,,
TF-C96LFR-F70W9100LDMV-50K,208.6,0,,
TF-C96LFR-F97W11900LDMV-30K,227.15,0,,
TF-C96LFR-F97W11900LDMV-35K,227.15,0,,
TF-C96LFR-F97W11900LDMV-40K,227.15,0,,
TF-C96LFR-F97W11900LDMV-50K,227.15,0,,
TF-C96LFR-F118W14200LDMV-30K,245.72,0,,
TF-C96LFR-F118W14200LDMV-35K,245.72,0,,
TF-C96LFR-F118W14200LDMV-40K,245.72,0,,
TF-C96LFR-F118W14200LDMV-50K,245.72,0,,
TF-KDS48L-J24W2800LDMV-30K,97.15,0,,
TF-KDS48L-J24W2800LDMV-35K,97.15,0,,
TF-KDS48L-J24W2800LDMV-40K,97.15,0,,
TF-KDS48L-J24W2800LDMV-50K,97.15,0,,
TF-KDS48L-J28W3200LDMV-30K,100,0,,
TF-KDS48L-J28W3200LDMV-35K,100,0,,
TF-KDS48L-J28W3200LDMV-40K,100,0,,
TF-KDS48L-J28W3200LDMV-50K,100,0,,
TF-KDS48L-J35W4000LDMV-30K,112.86,0,,
TF-KDS48L-J35W4000LDMV-35K,112.86,0,,
TF-KDS48L-J35W4000LDMV-40K,112.86,0,,
TF-KDS48L-J35W4000LDMV-50K,112.86,0,,
TF-KDS96L-J48W5650LDMV-30K,180,0,,
TF-KDS96L-J48W5650LDMV-35K,180,0,,
TF-KDS96L-J48W5650LDMV-40K,180,0,,
TF-KDS96L-J48W5650LDMV-50K,180,0,,
TF-KDS96L-J57W6400LDMV-30K,182.86,0,,
TF-KDS96L-J57W6400LDMV-35K,182.86,0,,
TF-KDS96L-J57W6400LDMV-40K,182.86,0,,
TF-KDS96L-J57W6400LDMV-50K,182.86,0,,
TF-KDS96L-J72W8000LDMV-30K,200,0,,
