SKU,family_count,family
LT-LEDMCL-3LM-Trimless,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
GC-13.5T5HE/4F,1,"Color Temperature (CCT)"
GC-17T8/4F,1,"Color Temperature (CCT)"
GC-11A19DIM,1,"Color Temperature (CCT)"
GC-8A19DIM,1,"Color Temperature (CCT)"
LT-LEDMCL-4LM-Trimless,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
EN-68625-TR,1,"Finish Options"
EN-6671,1,"Finish Options"
EN-6661,1,"Finish Options"
EN-6651,1,"Finish Options"
EN-6641,1,"Finish Options"
EN-6631,1,"Finish Options"
EN-6621,1,"Finish Options"
LT-SLED1204,1,"Color Temperature (CCT)"
EN-6611,1,"Finish Options"
LT-SLED1807,1,"Color Temperature (CCT)"
EN-6601,1,"Finish Options"
EN-6501,1,"Finish Options"
LT-SLED2108,1,"Color Temperature (CCT)"
EN-81200,1,"Finish Options"
EN-63201,1,"Finish Options"
LT-SLED2409,1,"Color Temperature (CCT)"
EN-63200,1,"Finish Options"
EN-63200-TR,1,"Finish Options"
LT-SLED3612,1,"Color Temperature (CCT)"
EN-63151,1,"Finish Options"
LT-SLED4818,1,"Color Temperature (CCT)"
EN-63150-TR,1,"Finish Options"
LT-UCLD1204,1,"Color Temperature (CCT)"
LT-UCLD1807,1,"Color Temperature (CCT)"
EN-62755,1,"Finish Options"
"LT-UCLD 2108",1,"Color Temperature (CCT)"
LT-UCLD2409,1,"Color Temperature (CCT)"
LT-UCLD3612,1,"Color Temperature (CCT)"
LT-UCLD4818,1,"Color Temperature (CCT)"
EN-62150-TR,1,"Finish Options"
LT-CMED-111-15,2,"Color Temperature (CCT),Finish Options"
EN-62080-TR,1,"Finish Options"
EN-62060-TR,1,"Finish Options"
LT-CMED-114-23,2,"Color Temperature (CCT),Finish Options"
EN-62050-IG,1,"Finish Options"
EN-62040-TWR,1,"Finish Options"
EN-62040-TR,1,"Finish Options"
EN-62040,1,"Finish Options"
LT-CMED-211-15,2,"Color Temperature (CCT),Finish Options"
EN-62021,1,"Finish Options"
LT-CMED-214-23,2,"Color Temperature (CCT),Finish Options"
LT-CMED216,2,"Finish Options,Color Temperature (CCT)"
EN-62020,1,"Finish Options"
EN-62010,1,"Finish Options"
LT-CMED312,2,"Fixture Options,Color Temperature (CCT)"
LT-CMED412,2,"Finish Options,Color Temperature (CCT)"
LT-CMED414,2,"Finish Options,Color Temperature (CCT)"
LT-CMED513,2,"Finish Options,Color Temperature (CCT)"
LT-CMED515,2,"Finish Options,Color Temperature (CCT)"
LT-DFR56,1,"Color Temperature (CCT)"
EN-62000-IG,1,"Finish Options"
EN-61580-TR,1,"Finish Options"
EN-61580,1,"Finish Options"
EN-61570-TR,1,"Finish Options"
EN-61550-IG,1,"Finish Options"
EN-61501-TR2USB-CC,1,"Finish Options"
EN-61501,1,"Finish Options"
EN-61500-IG-TR,1,"Finish Options"
EN-61500-IG,1,"Finish Options"
EN-61210,1,"Finish Options"
EN-61160,1,"Finish Options"
EN-6001,1,"Finish Options"
F31T8/U-CASE20,1,"Color Temperature (CCT)"
ILP-VOL22,2,"Wattage & Lumen Options,Color Temperature (CCT)"
EN-59302,1,"Finish Options"
EN-51300L,1,"Finish Options"
TF-MTIM,1,"Output Wattage Options"
TF-HC60,1,"Main Cable Length"
EN-51300,1,"Finish Options"
EN-50321,1,"Finish Options"
EN-17003,1,"Finish Options"
TF-LLLRB47L42W2488L,1,"Color Temperature (CCT)"
ILP-BLDT-15WLED,1,"Finish Options"
TF-HC30,1,"Main Cable Length"
BL-LEDMPAL15,2,"Mounting Options,Color Temperature (CCT)"
BL-LEDMPAL30,2,"Mounting Options,Color Temperature (CCT)"
