parent_sku,Child_sku,ProductId,Product Name,,,
TF-201A48L,TF-201A48L-H72W8700LDMV-35K,13578,[S]Wattage Options,72 Watts,[S]Color Temperature (CCT),3500K
TF-201A48L,TF-201A48L-H72W8700LDMV-40K,13579,[S]Wattage Options,72 Watts,[S]Color Temperature (CCT),4000K
TF-201A48L,TF-201A48L-H72W8700LDMV-50K,13581,[S]Wattage Options,72 Watts,[S]Color Temperature (CCT),5000K
TF-201A96L,TF-201A96L-S48W5600LDMV-30K,13586,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
TF-201A96L,TF-201A96L-S48W5600LDMV-35K,13588,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-201A96L,TF-201A96L-S48W5600LDMV-40K,13589,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K
TF-201A96L,TF-201A96L-S48W5600LDMV-50K,13591,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
TF-201A96L,TF-201A96L-S65W8000LDMV-30K,13593,[S]Wattage Options,65 Watts,[S]Color Temperature (CCT),3000K
TF-201A96L,TF-201A96L-S65W8000LDMV-35K,13594,[S]Wattage Options,65 Watts,[S]Color Temperature (CCT),3500K
TF-201A96L,TF-201A96L-S65W8000LDMV-40K,13595,[S]Wattage Options,65 Watts,[S]Color Temperature (CCT),4000K
TF-201A96L,TF-201A96L-S65W8000LDMV-50K,13596,[S]Wattage Options,65 Watts,[S]Color Temperature (CCT),5000K
TF-201A96L,TF-201A96L-S97W11400LDMV-30K,13597,[S]Wattage Options,97 Watts,[S]Color Temperature (CCT),3000K
TF-201A96L,TF-201A96L-S97W11400LDMV-35K,13598,[S]Wattage Options,97 Watts,[S]Color Temperature (CCT),3500K
TF-201A96L,TF-201A96L-S97W11400LDMV-40K,13599,[S]Wattage Options,97 Watts,[S]Color Temperature (CCT),4000K
TF-201A96L,TF-201A96L-S97W11400LDMV-50K,13600,[S]Wattage Options,97 Watts,[S]Color Temperature (CCT),5000K
