sku,upc_ean,cost-USD,msrp-USD,imap-USD
WM-GL-12V-24W-30K-BR,845060059052,56.90,101.78,91.74
WM-GL-12V-24W-40K-BR,845060059069,56.90,101.78,91.74
WM-GL-12V-24W-50K-BR,845060059076,56.90,101.78,91.74
WM-GL-12W-30K-BR,845060059083,41.90,72.78,66.74
WM-GL-12W-40K-BR,845060059090,41.90,72.78,66.74
WM-GL-12W-50K-BR,845060059106,41.90,72.78,66.74
WM-GL-24W-30K-BR,845060059113,54.90,95.78,86.74
WM-GL-24W-40K-BR,845060059120,54.90,95.78,86.74
WM-GL-24W-50K-BR,845060059137,54.90,95.78,86.74
WM-GL-MCTP-BK,845060059151,70.90,125.78,113.74
WM-GL-MCTP-BR,845060059144,70.90,125.78,113.74
WM-GL-MCTP-WH,845060059168,74.90,131.78,119.74
WM-FLD2-15CW-KN-WH,845060008302,37.90,69.78,61.74
WM-FLD2-15CW-KN-GRN,845060004397,37.90,69.78,61.74
WM-FLD2-15WW-KN-GRN,845060004403,37.90,69.78,61.74
WM-FLD2-50CW-KN,845060005004,92.90,161.78,143.74
WM-FLD2-50WW-KN,845060005011,92.90,161.78,143.74
WM-FLD2-15CW-TR,845060002966,30.90,68.78,60.74
WM-FLD2-15WW-TR,845060002973,30.90,68.78,60.74
WM-FLD2-28CW-TR,845060002980,46.90,95.78,84.74
WM-FLD2-28WW-TR,845060002997,46.90,95.78,84.74
WM-FLD2-42CW-TR,845060003000,67.90,139.78,123.74
WM-FLD2-42WW-TR,845060003147,67.90,139.78,123.74
WM-LF12-6W-27K-KN,845060049374,14.99,26.78,24.74
WM-LF12-6W-30K-KN,845060048728,14.99,26.78,24.74
WM-LF12-6W-40K-KN,845060048735,14.99,26.78,24.74
WM-LF12-6W-50K-KN,845060048742,14.99,26.78,24.74
WM-LF12-6W-RGBW-KN,845060048759,19.90,36.78,32.74
WM-WMC-DL-15W-50K-BN,845060004939,39.98,63.78,56.74
WM-WMCL-UDL-MCT-BN,845060052336,106.90,187.78,166.74
WM-WMCL-UDL-MCT-BR,845060052329,100.90,177.78,157.74
WM-WMCS-UDL-MCT-BN-DT,845060052350,57.90,103.78,91.74
WM-WMCS-UDL-MCT-BR-DT,845060052343,57.90,103.78,91.74
WM-LDS-12W-30K-D,845060012705,33.90,58.78,52.74
WM-LDS-12W-40K-D,845060012712,33.90,58.78,52.74
WM-LRS-A-30K-PC,845060019582,23.90,39.78,35.74
WM-LRS-A-40K-PC,845060019599,23.90,39.78,35.74
WM-LRS-B-30K-PC,845060019605,21.29,36.78,32.74
WM-LRS-B-40K-PC,845060019612,21.29,36.78,32.74
WM-LRS-C-30K-D,845060019629,30.90,55.78,49.74
WM-LRS-C-40K-D,845060019636,30.90,55.78,49.74
WM-LRS-D-30K-D,845060019643,33.90,58.78,52.74
WM-LRS-D-40K-D,845060019650,33.90,58.78,52.74
WM-PML-MCT-BK,845060052367,53.90,93.78,82.74
WM-PML-BASE-BK,845060058444,11.66,20.78,17.74
WM-LGP-42W-50K,845060017823,170.90,298.78,270.74
WM-LGP-42W-40K,845060017830,170.90,298.78,270.74
WM-LGP-42W-30K,845060017816,170.90,298.78,270.74
WM-LGP-100W-50K,845060017854,212.90,377.78,342.74
WM-LGP-100W-40K,845060017861,212.90,377.78,342.74
WM-LGP-100W-30K,845060017847,212.90,377.78,342.74
WM-LGP-EXTARM,845060017885,42.98,68.78,61.74
WM-LGP-A2,845060017878,23.98,38.78,34.74
WM-SL-20W-50K-BZ-P,845060015683,39.90,69.78,69.74
WM-SL-20W-30K-BZ-P,845060015676,39.90,69.78,69.74
WM-SL-20W-50K-WH-P,845060015706,39.90,69.78,69.74
WM-SL-20W-30K-WH-P,845060015690,39.90,69.78,69.74
WM-SL-30W-50K-BZ-P,845060015720,55.90,107.78,97.74
WM-SL-30W-30K-BZ-P,845060015713,55.90,107.78,97.74
WM-SL-30W-50K-WH-P,845060015744,55.90,107.78,97.74
WM-SL-30W-30K-WH-P,845060015737,55.90,107.78,97.74
WM-SL-10W-50K-BZ-D,845060023596,23.90,42.78,40.74
WM-SL-10W-30K-BZ-D,845060023589,23.90,42.78,40.74
WM-SL-20W-50K-BZ-D,845060020489,28.90,52.78,48.74
WM-SL-20W-30K-BZ-D,845060020472,28.90,52.78,48.74
WM-SL-30W-50K-BZ-D,845060020526,48.90,85.78,79.74
WM-SL-30W-30K-BZ-D,845060020519,48.90,85.78,79.74
WM-SL-10W-50K-WH-D,845060023626,23.90,42.78,40.74
WM-SL-10W-30K-WH-D,845060023619,23.90,42.78,40.74
WM-SL-20W-50K-WH-D,845060020502,28.90,52.78,48.74
WM-SL-20W-30K-WH-D,845060020496,28.90,52.78,48.74
WM-SL-30W-50K-WH-D,845060020540,48.90,85.78,79.74
WM-SL-30W-30K-WH-D,845060020533,48.90,85.78,79.74
WM-SL-28W-50K-BZ-P,845060015645,49.90,87.78,80.74
WM-SL-28W-30K-BZ-P,845060015638,49.90,87.78,80.74
WM-SL-28W-50K-WH-P,845060015669,49.90,87.78,80.74
WM-SL-28W-30K-WH-P,845060015652,49.90,87.78,80.74
WM-SL-28W-50K-BZ-D,845060020441,39.90,69.78,69.74
WM-SL-28W-30K-BZ-D,845060020434,39.90,69.78,69.74
WM-SL-40W-50K-BZ-D,845060020564,46.90,84.78,79.74
WM-SL-40W-30K-BZ-D,845060020557,46.90,84.78,79.74
WM-SL-28W-50K-WH-D,845060020465,39.90,69.78,69.74
WM-SL-28W-30K-WH-D,845060020458,39.90,69.78,69.74
WM-SL-40W-50K-WH-D,845060020588,46.90,84.78,79.74
WM-SL-40W-30K-WH-D,845060020571,46.90,84.78,79.74
WM-SL-20W-30K-BZ,845060001235,28.90,52.78,49.74
WM-SL-20W-30K-WH,845060001242,28.90,52.78,49.74
WM-SL-20W-50K-BZ,845060001259,28.90,52.78,49.74
WM-SL-20W-50K-WH,845060001266,28.90,52.78,49.74
WM-LOHB-2FT-50W-30K,845060013214,151.90,265.78,240.74
WM-LOHB-2FT-50W-50K,845060013207,151.90,265.78,240.74
WM-LOHB-4FT-120W-30K,845060013290,244.90,428.78,428.74
WM-LOHB-4FT-120W-50K,845060013283,244.90,428.78,428.74
WM-LOHB-H-2FT,845060013375,14.96,23.78,21.74
WM-WMS-S-50K-BR,845060029086,31.90,57.78,51.74
WM-WMS-S-30K-BR,845060029093,31.90,57.78,51.74
WM-WMS-R-50K-BR,845060029109,31.90,57.78,51.74
WM-WMS-R-30K-BR,845060029116,31.90,57.78,51.74
WM-WMS-S-50K-WH,845060029123,31.90,57.78,51.74
WM-WMS-S-30K-WH,845060029130,31.90,57.78,51.74
WM-WMS-R-50K-WH,845060029147,31.90,57.78,51.74
WM-WMS-R-30K-WH,845060029154,31.90,57.78,51.74
WM-WL-EZCG-10W-50K,845060030556,22.90,41.78,39.74
WM-WL-EZCG-SOLP,845060030563,14.87,25.78,25.74
WM-WL-3IN1-10W,845060030570,12.73,22.78,22.74
WM-LF-THREAD,845060042894,1.35,2.14,1.90
WM-SPS-75,845060006957,19.56,31.78,27.74
WM-LF3-YOK,845060045444,19.93,31.78,28.74
WM-FL-SH1,845060008180,11.21,17.78,15.74
WM-FL-SH2,845060008197,14.40,22.78,20.74
WM-FL-SH3,845060008203,20.16,32.78,28.74
WM-FL-SH4,845060008210,26.98,42.78,37.74
WM-PSS3SVTZ,845060008753,21.38,33.78,30.74
WM-PSS4SVTZ,845060043761,21.38,33.78,30.74
WM-PSS5SVTZ,845060008289,21.38,33.78,30.74
WM-PRPT3,845060048070,29.94,47.78,42.74
WM-PRPT4,845060008296,29.94,47.78,42.74
WM-PRPT5,845060008760,29.94,47.78,42.74
WM-PSR4,845060043778,35.29,56.78,49.74
WM-LF-AD-KNU,845060043754,7.47,11.78,10.74
WM-PSS4C,845060046045,16.03,25.78,22.74
WM-PSS3R,845060054507,10.68,16.78,15.74
WM-ACC-WM2,845060024197,20.22,32.78,28.74
WM-ACC-WM3,845060024180,28.78,45.78,40.74
WM-ACC-WM4,845060003178,28.78,45.78,40.74
WM-PT2-180-R,845060024142,80.23,127.78,112.74
WM-PT2-180-S,845060006254,99.49,157.78,140.74
WM-PT3-180,845060024135,136.94,217.78,192.74
WM-PT4-180,845060024128,236.45,375.78,332.74
WM-PT3-120,845060024166,177.60,282.78,250.74
WM-PT4-090,845060024159,207.56,329.78,292.74
WM-PSS4L1HTZ,845060035285,59.90,95.78,84.74
WM-PSS4T180HTZ,845060046069,71.67,113.78,100.74
WM-PSS4TR90HTZ,845060046076,79.16,125.78,111.74
WM-PSS4T90HTZ,845060046052,85.58,135.78,120.74
WM-PSS4Q90HTZ,845060046083,94.14,149.78,132.74
WM-PSS4Q90VTZ,845060046120,232.17,368.78,326.74
WM-PSS4TVTZ,845060006285,187.29,297.78,263.74
WM-PSS4TRVTZ,845060046137,248.22,394.78,349.74
WM-PC-1,845060038347,9.52,16.78,14.74
WM-PC-1H,845060038323,11.66,20.78,20.74
WM-PC-1S,845060038422,10.59,18.78,16.74
WM-PC-2S,845060038439,10.59,18.78,16.74
WM-PC-B,845060038446,8.45,15.78,13.74
WM-PC-BM,845060038477,8.45,15.78,14.74
WM-PC-BP,845060038330,9.52,16.78,16.74
WM-PC-BUM,845060077599,8.61,13.78,11.74
WM-PC-TLSC,845060023213,6.31,11.78,11.74
WM-PC-TLSOC-3PIN,845060051995,5.24,10.78,8.74
WM-PC-TLSOC-7PIN,845060031065,14.87,27.78,26.74
WM-PC-TWIST,845060023909,10.59,18.78,16.74
WM-PC-TWIST-480V,845060031072,29.90,53.78,52.74
WM-WEC-3MPC-GY,845060032543,20.22,36.78,31.74
WM-WEC-3MRLV-5-BR,845060034141,39.90,66.78,59.74
WM-WEC-3MRLV-5-GY,845060034158,39.90,66.78,59.74
WM-WEC-3MRLV-5-WH,845060034134,38.90,63.78,56.74
WM-WEC-3MRLV-5-CLR,845060001013,38.90,63.78,56.74
WM-WEC-3MR-3-BR,845060032758,37.90,61.78,54.74
WM-WEC-3MR-3-WH,845060032550,35.90,60.78,53.74
WM-WEC-3MDR-42,845060048612,50.90,84.78,74.74
WM-WEC-3PDR-52,845060048629,47.90,79.78,70.74
WM-WEC-3MR-48,845060048650,57.90,96.78,85.74
WM-WEC-3PR-60,845060048674,57.90,96.78,85.74
WM-WEC-3MR-4-BR,845060032536,38.90,63.78,56.74
WM-WEC-3PDR-58-BR,845060049831,54.90,90.78,80.74
WM-WEC-3PDR-58-WH,845060049848,54.90,90.78,80.74
