parent_sku,child_sku,"Wattage Options","Color Temperature (CCT)"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-40KWHHC3015WH,"114 Watts","4000K (recommended)"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-50KWHHC3015WH,"114 Watts",5000K
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-30KWHHC3015WH,"144 Watts",3000K
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-35KWHHC3015WH,"144 Watts",3500K
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-40KWHHC3015WH,"144 Watts","4000K (recommended)"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-50KWHHC3015WH,"144 Watts",5000K
TF-PUF22L,TF-PUF22L-S24W1800LDMV-30K,"24 Watts",3000K
TF-PUF22L,TF-PUF22L-S24W1800LDMV-35K,"24 Watts",3500K
TF-PUF22L,TF-PUF22L-S24W1800LDMV-40K,"24 Watts",4000K
TF-PUF22L,TF-PUF22L-S24W1800LDMV-50K,"24 Watts",5000K
TF-PUF22L,TF-PUF22L-H36W2900LDMV-30K,"36 Watts",3000K
TF-PUF22L,TF-PUF22L-H36W2900LDMV-35K,"36 Watts",3500K
TF-PUF22L,TF-PUF22L-H36W2900LDMV-40K,"36 Watts",4000K
TF-PUF22L,TF-PUF22L-H36W2900LDMV-50K,"36 Watts",5000K
TF-CLMMW248L,TF-CLMMW248L-S32W3450LDMV-30K,"32 Watts",3000K
TF-CLMMW248L,TF-CLMMW248L-S32W3450LDMV-35K,"32 Watts",3500K
TF-CLMMW248L,TF-CLMMW248L-S32W3450LDMV-40K,"32 Watts",4000K
TF-CLMMW248L,TF-CLMMW248L-S32W3450LDMV-50K,"32 Watts",5000K
TF-CLMMW248L,TF-CLMMW248L-S48W4800LDMV-30K,"48 Watts",3000K
TF-CLMMW248L,TF-CLMMW248L-S48W4800LDMV-35K,"48 Watts",3500K
TF-CLMMW248L,TF-CLMMW248L-S48W4800LDMV-40K,"48 Watts",4000K
TF-CLMMW248L,TF-CLMMW248L-S48W4800LDMV-50K,"48 Watts",5000K
TF-CLMMW248L,TF-CLMMW248L-S57W5400LDMV-30K,"57 Watts",3000K
TF-CLMMW248L,TF-CLMMW248L-S57W5400LDMV-35K,"57 Watts",3500K
TF-CLMMW248L,TF-CLMMW248L-S57W5400LDMV-40K,"57 Watts",4000K
TF-CLMMW248L,TF-CLMMW248L-S57W5400LDMV-50K,"57 Watts",5000K
TF-CLMMW448L,TF-CLMMW448L-S72W7000LDMV-30K,"72 Watts",3000K
TF-CLMMW448L,TF-CLMMW448L-S72W7000LDMV-35K,"72 Watts",3500K
TF-CLMMW448L,TF-CLMMW448L-S72W7000LDMV-40K,"72 Watts",4000K
TF-CLMMW448L,TF-CLMMW448L-S72W7000LDMV-50K,"72 Watts",5000K
TF-CLMMW448L,TF-CLMMW448L-S97W9600LDMV-30K,"97 Watts",3000K
TF-CLMMW448L,TF-CLMMW448L-S97W9600LDMV-35K,"97 Watts",3500K
TF-CLMMW448L,TF-CLMMW448L-S97W9600LDMV-40K,"97 Watts",4000K
TF-CLMMW448L,TF-CLMMW448L-S97W9600LDMV-50K,"97 Watts",5000K
TF-C24LFR,TF-C24LFR-F24W3000LDMV-30K,"24 Watts",3000K
TF-C24LFR,TF-C24LFR-F24W3000LDMV-35K,"24 Watts",3500K
TF-C24LFR,TF-C24LFR-F24W3000LDMV-40K,"24 Watts",4000K
TF-C24LFR,TF-C24LFR-F24W3000LDMV-50K,"24 Watts",5000K
TF-C24LFR,TF-C24LFR-F30W3400LDMV-30K,"30 Watts",3000K
TF-C24LFR,TF-C24LFR-F30W3400LDMV-35K,"30 Watts",3500K
TF-C24LFR,TF-C24LFR-F30W3400LDMV-40K,"30 Watts",4000K
TF-C24LFR,TF-C24LFR-F30W3400LDMV-50K,"30 Watts",5000K
TF-C48LFR,TF-C48LFR-F35W4500LDMV-30K,"35 Watts",3000K
TF-C48LFR,TF-C48LFR-F35W4500LDMV-35K,"35 Watts",3500K
TF-C48LFR,TF-C48LFR-F35W4500LDMV-40K,"35 Watts",4000K
TF-C48LFR,TF-C48LFR-F35W4500LDMV-50K,"35 Watts",5000K
TF-C48LFR,TF-C48LFR-F48W6000LDMV-30K,"48 Watts",3000K
TF-C48LFR,TF-C48LFR-F48W6000LDMV-35K,"48 Watts",3500K
TF-C48LFR,TF-C48LFR-F48W6000LDMV-40K,"48 Watts",4000K
TF-C48LFR,TF-C48LFR-F48W6000LDMV-50K,"48 Watts",5000K
TF-C48LFR,TF-C48LFR-F57W7100LDMV-30K,"57 Watts",3000K
TF-C48LFR,TF-C48LFR-F57W7100LDMV-35K,"57 Watts",3500K
