product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","Light Source Options","Select Light Source","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options"
898,TF-ECLA217S,TF-ECLA217S-BM,102.86,102.86,,,,0,,,,,,,"Black Marble",,,,,,
898,TF-ECLA217S,TF-ECLA217S-SI,102.86,102.86,,,,0,,,,,,,Silver,,,,,,
898,TF-ECLA217S,TF-ECLA217S-TO,102.86,102.86,,,,0,,,,,,,Tortoise,,,,,,
899,TF-ECLA232S,TF-ECLA232S-WH,108.6,108.6,,,,0,,,,,,,White,,,,,,
899,TF-ECLA232S,TF-ECLA232S-WM,108.6,108.6,,,,0,,,,,,,"White Marble",,,,,,
899,TF-ECLA232S,TF-ECLA232S-IM,108.6,108.6,,,,0,,,,,,,"Ivory Marble",,,,,,
899,TF-ECLA232S,TF-ECLA232S-BM,108.6,108.6,,,,0,,,,,,,"Black Marble",,,,,,
899,TF-ECLA232S,TF-ECLA232S-SL,108.6,108.6,,,,0,,,,,,,Silver,,,,,,
899,TF-ECLA232S,TF-ECLA232S-TO,108.6,108.6,,,,0,,,,,,,Tortoise,,,,,,
901,TF-ECLRE417S,TF-ECLRE417S-WH,154.3,154.3,,,,0,,,,,,,White,,,,,,
901,TF-ECLRE417S,TF-ECLRE417S-WM,154.3,154.3,,,,0,,,,,,,"White Marble",,,,,,
901,TF-ECLRE417S,TF-ECLRE417S-IM,154.3,154.3,,,,0,,,,,,,"Ivory Marble",,,,,,
901,TF-ECLRE417S,TF-ECLRE417S-BM,154.3,154.3,,,,0,,,,,,,"Black Marble",,,,,,
901,TF-ECLRE417S,TF-ECLRE417S-SL,154.3,154.3,,,,0,,,,,,,Silver,,,,,,
901,TF-ECLRE417S,TF-ECLRE417S-TO,154.3,154.3,,,,0,,,,,,,Tortoise,,,,,,
902,TF-ECLRE432S,TF-ECLRE432S-WH,161.43,161.43,,,,0,,,,,,,White,,,,,,
902,TF-ECLRE432S,TF-ECLRE432S-WM,161.43,161.43,,,,0,,,,,,,"White Marble",,,,,,
902,TF-ECLRE432S,TF-ECLRE432S-IM,161.43,161.43,,,,0,,,,,,,"Ivory Marble",,,,,,
902,TF-ECLRE432S,TF-ECLRE432S-BM,161.43,161.43,,,,0,,,,,,,"Black Marble",,,,,,
902,TF-ECLRE432S,TF-ECLRE432S-SL,161.43,161.43,,,,0,,,,,,,Silver,,,,,,
902,TF-ECLRE432S,TF-ECLRE432S-TO,161.43,161.43,,,,0,,,,,,,Tortoise,,,,,,
957,TF-WLINLV2328MV,TF-WLINLV2328MV-WH,674.3,674.3,,,,0,,White,,,,,,,,,,,
957,TF-WLINLV2328MV,TF-WLINLV2328MV-BK,735.72,735.72,,,,0,,Black,,,,,,,,,,,
957,TF-WLINLV2328MV,TF-WLINLV2328MV-SL,735.72,735.72,,,,0,,Silver,,,,,,,,,,,
