product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage Options","Color Temperature (CCT)","Fixture Options","Beam Angle Options","Connector Type Options","Finish Options","Letter Color Options","Wattage & Lumen Options","Trimplate Options","Length & Wattage Options","Lens Options","Occupancy Sensor","Trim Options","Sensor Options","Battery Options","Size & Wattage Options","Size, Wattage & Lumen Options","Factory Installed Lamps","Mounting Kit","Wiring Options","Voltage Options","Control Options","Fixture Configuration","Mounting Options","Photo Cell","Wattage and Lumen Options","Square Trims Ring Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options"
11408,BL-WLE-4FT-40L,WLE-4FT-40L-3K,,39.65,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408,BL-WLE-4FT-40L,WLE-4FT-40L-4K,,39.65,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408,BL-WLE-4FT-40L,WLE-4FT-40L-5K,,39.65,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11410,BL-BLED2N-AT-QN,BL-BLED2N-AT-QN-30K,,37.15,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11410,BL-BLED2N-AT-QN,BL-BLED2N-AT-QN-35K,,37.15,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11410,BL-BLED2N-AT-QN,BL-BLED2N-AT-QN-40K,,37.15,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11411,BL-BRK-4-BW,BL-BRK-4-BW-8L-27K,,12.5,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11411,BL-BRK-4-BW,BL-BRK-4-BW-8L-3K,,12.5,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11411,BL-BRK-4-BW,BL-BRK-4-BW-8L-4K,,12.5,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11412,BL-BRK-56-BW-9L,BL-BRK-56-BW-27K,,14.3,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
