parent_sku,child_sku,"Size & Wattage Options","Color Temperature (CCT)"
TF-PLY44SF-OT,TF-PLY44SF-OT-U336D576DMVWH-50KRD,"203"" Diameter - Uplight 336W & 33600 Lumens\, Downlight 576W & 57600 Lumens",5000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U448D768DMVWH-30KRD,"265"" Diameter - Uplight 448W & 44800 Lumens\, Downlight 768W & 76800 Lumens",3000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U448D768DMVWH-35KRD,"265"" Diameter - Uplight 448W & 44800 Lumens\, Downlight 768W & 76800 Lumens",3500K
TF-PLY44SF-OT,TF-PLY44SF-OT-U448D768DMVWH-40KRD,"265"" Diameter - Uplight 448W & 44800 Lumens\, Downlight 768W & 76800 Lumens",4000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U448D768DMVWH-50KRD,"265"" Diameter - Uplight 448W & 44800 Lumens\, Downlight 768W & 76800 Lumens",5000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D144DMVWH-30KRD,"61"" Diameter - Downlight Only 144W & 14400 Lumens",3000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D144DMVWH-35KRD,"61"" Diameter - Downlight Only 144W & 14400 Lumens",3500K
TF-PLY44SF-HX,TF-PLY44SF-HX-D144DMVWH-40KRD,"61"" Diameter - Downlight Only 144W & 14400 Lumens",4000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D144DMVWH-50KRD,"61"" Diameter - Downlight Only 144W & 14400 Lumens",5000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D288DMVWH-30KRD,"108"" Diameter - Downlight Only 288W & 28800 Lumens",3000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D288DMVWH-35KRD,"108"" Diameter - Downlight Only 288W & 28800 Lumens",3500K
TF-PLY44SF-HX,TF-PLY44SF-HX-D288DMVWH-40KRD,"108"" Diameter - Downlight Only 288W & 28800 Lumens",4000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D288DMVWH-50KRD,"108"" Diameter - Downlight Only 288W & 28800 Lumens",5000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D432DMVWH-30KRD,"156"" Diameter - Downlight Only 432W & 43200 Lumens",3000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D432DMVWH-35KRD,"156"" Diameter - Downlight Only 432W & 43200 Lumens",3500K
TF-PLY44SF-HX,TF-PLY44SF-HX-D432DMVWH-40KRD,"156"" Diameter - Downlight Only 432W & 43200 Lumens",4000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D432DMVWH-50KRD,"156"" Diameter - Downlight Only 432W & 43200 Lumens",5000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D576DMVWH-30KRD,"204"" Diameter - Downlight Only 576W & 57600 Lumens",3000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D576DMVWH-35KRD,"204"" Diameter - Downlight Only 576W & 57600 Lumens",3500K
TF-PLY44SF-HX,TF-PLY44SF-HX-D576DMVWH-40KRD,"204"" Diameter - Downlight Only 576W & 57600 Lumens",4000K
TF-PLY44SF-HX,TF-PLY44SF-HX-D576DMVWH-50KRD,"204"" Diameter - Downlight Only 576W & 57600 Lumens",5000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U84D144DMVWH-30KRD,"61"" Diameter - Uplight 84W & 8400 Lumens\, Downlight 144W & 14400 Lumens",3000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U84D144DMVWH-35KRD,"61"" Diameter - Uplight 84W & 8400 Lumens\, Downlight 144W & 14400 Lumens",3500K
TF-PLY44SF-HX,TF-PLY44SF-HX-U84D144DMVWH-40KRD,"61"" Diameter - Uplight 84W & 8400 Lumens\, Downlight 144W & 14400 Lumens",4000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U84D144DMVWH-50KRD,"61"" Diameter - Uplight 84W & 8400 Lumens\, Downlight 144W & 14400 Lumens",5000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U168D288DMVWH-30KRD,"108"" Diameter - Uplight 168W & 16800 Lumens\, Downlight 288W & 28800 Lumens",3000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U168D288DMVWH-35KRD,"108"" Diameter - Uplight 168W & 16800 Lumens\, Downlight 288W & 28800 Lumens",3500K
TF-PLY44SF-HX,TF-PLY44SF-HX-U168D288DMVWH-40KRD,"108"" Diameter - Uplight 168W & 16800 Lumens\, Downlight 288W & 28800 Lumens",4000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U168D288DMVWH-50KRD,"108"" Diameter - Uplight 168W & 16800 Lumens\, Downlight 288W & 28800 Lumens",5000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U252D432DMVWH-30KRD,"156"" Diameter - Uplight 252W & 25200 Lumens\, Downlight 432W & 43200 Lumens",3000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U252D432DMVWH-35KRD,"156"" Diameter - Uplight 252W & 25200 Lumens\, Downlight 432W & 43200 Lumens",3500K
TF-PLY44SF-HX,TF-PLY44SF-HX-U252D432DMVWH-40KRD,"156"" Diameter - Uplight 252W & 25200 Lumens\, Downlight 432W & 43200 Lumens",4000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U252D432DMVWH-50KRD,"156"" Diameter - Uplight 252W & 25200 Lumens\, Downlight 432W & 43200 Lumens",5000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U336D576DMVWH-30KRD,"204"" Diameter - Uplight 336W & 33600 Lumens\, Downlight 576W & 57600 Lumens",3000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U336D576DMVWH-35KRD,"204"" Diameter - Uplight 336W & 33600 Lumens\, Downlight 576W & 57600 Lumens",3500K
TF-PLY44SF-HX,TF-PLY44SF-HX-U336D576DMVWH-40KRD,"204"" Diameter - Uplight 336W & 33600 Lumens\, Downlight 576W & 57600 Lumens",4000K
TF-PLY44SF-HX,TF-PLY44SF-HX-U336D576DMVWH-50KRD,"204"" Diameter - Uplight 336W & 33600 Lumens\, Downlight 576W & 57600 Lumens",5000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D96DMVWH-30KRD,"34""W x 34""L - Downlight Only 96W & 9600 Lumens",3000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D96DMVWH-35KRD,"34""W x 34""L - Downlight Only 96W & 9600 Lumens",3500K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D96DMVWH-40KRD,"34""W x 34""L - Downlight Only 96W & 9600 Lumens",4000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D96DMVWH-50KRD,"34""W x 34""L - Downlight Only 96W & 9600 Lumens",5000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D192DMVWH-30KRD,"58""W x 58""L - Downlight Only 192W & 19200 Lumens",3000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D192DMVWH-35KRD,"58""W x 58""L - Downlight Only 192W & 19200 Lumens",3500K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D192DMVWH-40KRD,"58""W x 58""L - Downlight Only 192W & 19200 Lumens",4000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D192DMVWH-50KRD,"58""W x 58""L - Downlight Only 192W & 19200 Lumens",5000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D288DMVWH-30KRD,"82""W x 82""L - Downlight Only 288W & 28800 Lumens",3000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D288DMVWH-35KRD,"82""W x 82""L - Downlight Only 288W & 28800 Lumens",3500K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D288DMVWH-40KRD,"82""W x 82""L - Downlight Only 288W & 28800 Lumens",4000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D288DMVWH-50KRD,"82""W x 82""L - Downlight Only 288W & 28800 Lumens",5000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D384DMVWH-30KRD,"108""W x 108""L - Downlight Only 384W & 38400 Lumens",3000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D384DMVWH-35KRD,"108""W x 108""L - Downlight Only 384W & 38400 Lumens",3500K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D384DMVWH-40KRD,"108""W x 108""L - Downlight Only 384W & 38400 Lumens",4000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-D384DMVWH-50KRD,"108""W x 108""L - Downlight Only 384W & 38400 Lumens",5000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U56D96DMVWH-30KRD,"34""W x 34""L - Uplight 56W & 5600 Lumens\, Downlight 96W & 9600 Lumens",3000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U56D96DMVWH-35KRD,"34""W x 34""L - Uplight 56W & 5600 Lumens\, Downlight 96W & 9600 Lumens",3500K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U56D96DMVWH-40KRD,"34""W x 34""L - Uplight 56W & 5600 Lumens\, Downlight 96W & 9600 Lumens",4000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U56D96DMVWH-50KRD,"34""W x 34""L - Uplight 56W & 5600 Lumens\, Downlight 96W & 9600 Lumens",5000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U112D192DMVWH-30KRD,"58""W x 58""L - Uplight 112W & 11200 Lumens\, Downlight 192W & 19200 Lumens",3000K
TF-PLY44SF-SQ,TF-PLY44SF-SQ-U112D192DMVWH-35KRD,"58""W x 58""L - Uplight 112W & 11200 Lumens\, Downlight 192W & 19200 Lumens",3500K
